AP_AP,AP_AP50,AP_AP75,AP_AP_L,AP_AP_M,AP_AP_S,AP_n_results,bits,dAP,dAP50,dAP75,dAP_L,dAP_M,dAP_S,feat_cosine_all,feat_rel_mse_all,feat_rel_mse_stage0,feat_rel_mse_stage1,feat_rel_mse_stage2,feat_rel_mse_stage3,feat_sqnr_db,group,tag
0.4301653819220467,0.6548938792834266,0.4686902103488872,0.594694474403108,0.5008796118470934,0.28559520821527423,15917,32,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999823048711,0.0,0.0,0.0,0.0,0.0,188.64467983697233,FP,FP
0.42610042550683264,0.6499715774529585,0.4570487476690223,0.5855113544325213,0.496482336367867,0.267588461139198,15853,4,0.004064956415214038,0.0049223018304680455,0.011641462679864878,0.009183119970586628,0.004397275479226415,0.018006747076076246,0.9839047584682703,0.032206250907620415,0.03747843766472732,0.033937939124594724,0.015542071837202596,0.0035843707839151584,14.95962641062605,L0B0.fc1,L0B0.fc1__b4
0.4295080237485082,0.6560363176548407,0.46846622518746817,0.5926975467440768,0.49963238395883786,0.2851256315185844,15935,6,0.0006573581735384582,-0.001142438371414145,0.0002239851614190269,0.0019969276590311447,0.001247227888255542,0.00046957669668984403,0.9987171767279506,0.002565602195318206,0.003113199068975738,0.00252049779400233,0.0010036156528794437,0.0002311237176068837,25.944916764472765,L0B0.fc1,L0B0.fc1__b6
0.4300747515239667,0.6564807905182729,0.4665351247441836,0.5934397573151023,0.49999852619422946,0.28415505296642085,16121,4,9.063039807999385e-05,-0.0015869112348463332,0.002155085604703566,0.001254717088005619,0.0008810856528639333,0.0014401552488533809,0.9917966639623046,0.016411380944191478,0.019962524395201388,0.015902789673956794,0.006653302024587417,0.0014705775344685636,17.931313487895288,L0B0.fc2,L0B0.fc2__b4
0.43205084613469646,0.657027977744446,0.4706970214100371,0.594677963685071,0.502495042675265,0.2845649273133882,15971,6,-0.00188546421264979,-0.002134098461019418,-0.0020068110611499157,1.6510718036988337e-05,-0.0016154308281716157,0.0010302809018860049,0.9995790682733059,0.0008417900603490125,0.001019460239466399,0.0008214000910342525,0.000348485989101858,8.316463077421429e-05,30.84788316369987,L0B0.fc2,L0B0.fc2__b6
0.43044881020936554,0.6516248235070652,0.4734707334580934,0.5954764370420591,0.5018992388050006,0.2839840248615294,15928,4,-0.0002834282873188654,0.0032690557763613848,-0.004780523109206181,-0.0007819626389511392,-0.0010196269579072492,0.0016111833537448272,0.9954629121348262,0.009070727588550653,0.011614180879850755,0.007632090643157395,0.003200164880229067,0.0007711140050569354,20.743926716385147,L0B0.proj,L0B0.proj__b4
0.4313041595584874,0.6558996857070434,0.47057161913397183,0.5949169058319038,0.5002089419460413,0.2850156691336388,15922,6,-0.0011387776364407132,-0.0010058064236168063,-0.0018814087850846373,-0.0002224314287958551,0.0006706699010521344,0.0005795390816354384,0.9998320946469903,0.0003358199533067818,0.0004016491971731141,0.0003218045468921458,0.00017296832098441636,4.2902748321634974e-05,34.914336815285814,L0B0.proj,L0B0.proj__b6
0.43104183201195445,0.6529215696818848,0.4705626855890142,0.5954416514847322,0.49916895460305083,0.2815903589742267,15969,4,-0.0008764500899077765,0.0019723096015418218,-0.001872475240127014,-0.0007471770816241952,0.0017106572440425682,0.004004849241047548,0.9953683186322451,0.009260785089281853,0.011765678732976442,0.007994498908116612,0.0033158089530005916,0.00077546558419204,20.573020369375868,L0B0.qkv,L0B0.qkv__b4
0.431034851108829,0.6540873229858666,0.4693921834064823,0.5920056652830765,0.499823701730193,0.2848204820351497,15918,6,-0.0008694691867823234,0.0008065562975599905,-0.0007019730575951177,0.0026888091200314435,0.0010559101169003715,0.0007747261801245298,0.9997401898726821,0.0005195722703774663,0.0006621427470745985,0.00045107502305185226,0.00017204405727256028,4.046501726932811e-05,33.086294958823075,L0B0.qkv,L0B0.qkv__b6
0.43312288381441927,0.6560415024250015,0.4764811392903154,0.5972594055459449,0.5007812765995872,0.29016865352417404,16033,4,-0.0029575018923725938,-0.001147623141574905,-0.007790928941428188,-0.002564931142836957,9.833524750624267e-05,-0.004573445308899804,0.9963979749009013,0.0072033114192890935,0.008225969230774746,0.007966660366224574,0.0034664315293973158,0.0008199808506840147,21.475597589551512,L0B1.fc1,L0B1.fc1__b4
